explained_variance,total_timesteps,fps,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
-0.31788408756256104,466000,702,2.056433916091919,93200,0.00043164705857634544,-1.97,734.24
0.1569812297821045,466500,702,2.042630672454834,93300,0.00017236880376003683,-2.02,730.13
0.30367064476013184,467000,703,2.049257278442383,93400,0.19375064969062805,-2.05,726.15
-0.20961809158325195,467500,703,2.0525898933410645,93500,0.5302209258079529,-2.05,726.15
0.2738213539123535,468000,703,2.0634796619415283,93600,0.00011990425264229998,-2.05,725.11
-5.744318008422852,468500,703,2.0610527992248535,93700,0.0007159741362556815,-2.03,723.29
-2.60357928276062,469000,704,2.0696606636047363,93800,0.0005770411808043718,-2.08,719.01
-8.671346664428711,469500,704,2.0613200664520264,93900,0.0032456014305353165,-2.14,714.74
0.29909414052963257,470000,704,2.072901487350464,94000,0.16203948855400085,-2.17,710.11
-6.413083553314209,470500,704,1.9746005535125732,94100,7.176589861046523e-05,-2.17,710.11
0.8634534031152725,471000,704,2.04638934135437,94200,6.513146945508197e-05,-2.17,712.39
-6.212867259979248,471500,705,2.0552000999450684,94300,0.00010385938367107883,-2.17,712.39
-0.5864346027374268,472000,705,2.0655694007873535,94400,0.00037587728002108634,-2.15,715.88
-5.36990213394165,472500,705,2.0735628604888916,94500,1.800727659428958e-05,-2.15,715.88
-0.3739955425262451,473000,705,2.060284376144409,94600,0.000646535016130656,-2.2,718.94
-7.870204925537109,473500,706,2.0759615898132324,94700,1.975399936782196e-05,-2.19,722.19
-7.513302803039551,474000,706,2.070955991744995,94800,0.0001262672885786742,-2.11,724.67
-0.011039495468139648,474500,706,2.069736957550049,94900,0.1797242909669876,-2.11,724.67
-1.2542023658752441,475000,706,2.0374903678894043,95000,0.002004374749958515,-2.08,729.07
-1.757606029510498,475500,707,2.0400121212005615,95100,0.00030802737455815077,-2.08,729.07
-34.42860794067383,476000,707,2.073915958404541,95200,0.00013853864220436662,-2.07,730.57
-0.004211068153381348,476500,707,2.0479390621185303,95300,0.15857276320457458,-2.07,730.57
-6.9189772605896,477000,707,2.0746312141418457,95400,0.0022100775968283415,-2.11,733.93
-11.130918502807617,477500,707,2.061798572540283,95500,0.00013834572746418417,-2.12,732.57
-4.790038585662842,478000,708,2.054429054260254,95600,0.00018168016686104238,-2.07,730.28
-441.6692199707031,478500,708,2.0599236488342285,95700,0.025956079363822937,-2.06,729.22
